DATE,FEDFUNDS
2008-01-01,3.94
2008-04-01,2.28
2008-07-01,2.01
2008-10-01,0.97
2009-01-01,0.15
2009-04-01,0.15
2009-07-01,0.16
2009-10-01,0.12
2010-01-01,0.11
2010-04-01,0.2
2010-07-01,0.18
2010-10-01,0.19
2011-01-01,0.17
2011-04-01,0.1
2011-07-01,0.07
2011-10-01,0.07
2012-01-01,0.08
2012-04-01,0.14
2012-07-01,0.16
2012-10-01,0.16
2013-01-01,0.14
2013-04-01,0.15
2013-07-01,0.09
2013-10-01,0.09
2014-01-01,0.07
2014-04-01,0.09
2014-07-01,0.09
2014-10-01,0.09
2015-01-01,0.11
2015-04-01,0.12
2015-07-01,0.13
2015-10-01,0.12
2016-01-01,0.34
2016-04-01,0.37
2016-07-01,0.39
2016-10-01,0.4
2017-01-01,0.65
2017-04-01,0.9
2017-07-01,1.15
2017-10-01,1.15
2018-01-01,1.41
2018-04-01,1.69
2018-07-01,1.91
2018-10-01,2.19
2019-01-01,2.4
2019-04-01,2.42
2019-07-01,2.4
2019-10-01,1.83
2020-01-01,1.55
2020-04-01,0.05
2020-07-01,0.09
2020-10-01,0.09
2021-01-01,0.09
2021-04-01,0.07
2021-07-01,0.1
2021-10-01,0.08
2022-01-01,0.08
2022-04-01,0.33
2022-07-01,1.68
2022-10-01,3.08
2023-01-01,4.33
2023-04-01,4.83
2023-07-01,5.12
2023-10-01,5.33
2024-01-01,5.33
2024-04-01,5.33
2024-07-01,5.33
2024-10-01,4.83
