DATE,SNP_Close
2008-01-01,1350.6616393442623
2008-04-01,1371.6275
2008-07-01,1252.02
2008-10-01,911.97734375
2009-01-01,807.6659016393443
2009-04-01,892.6014285714285
2009-07-01,995.74828125
2009-10-01,1088.7232812500001
2010-01-01,1123.5936065573771
2010-04-01,1134.5849206349208
2010-07-01,1096.246875
2010-10-01,1204.585625
2011-01-01,1302.5288709677418
2011-04-01,1318.3328571428572
2011-07-01,1225.2684375000001
2011-10-01,1225.6511111111113
2012-01-01,1348.7835483870967
2012-04-01,1349.6785714285713
2012-07-01,1400.942857142857
2012-10-01,1418.1390322580644
2013-01-01,1513.98
2013-04-01,1609.49125
2013-07-01,1674.94359375
2013-10-01,1768.66734375
2014-01-01,1834.8711475409837
2014-04-01,1900.3726984126984
2014-07-01,1975.908125
2014-10-01,2009.344375
2015-01-01,2063.6898360655737
2015-04-01,2101.8290476190477
2015-07-01,2027.2
2015-10-01,2052.311875
2016-01-01,1951.224918032787
2016-04-01,2075.1315625
2016-07-01,2162.0568749999998
2016-10-01,2184.8785714285714
2017-01-01,2325.9279032258064
2017-04-01,2397.9709523809524
2017-07-01,2467.1746031746034
2017-10-01,2603.2773015873017
2018-01-01,2733.476721311475
2018-04-01,2703.13125
2018-07-01,2849.6014285714286
2018-10-01,2698.9261904761906
2019-01-01,2721.004426229508
2019-04-01,2882.3277777777776
2019-07-01,2957.8528125
2019-10-01,3082.755625
2020-01-01,3055.869193548387
2020-04-01,2931.687619047619
2020-07-01,3319.8340625
2020-10-01,3554.5015625
2021-01-01,3865.7068852459015
2021-04-01,4183.62634920635
2021-07-01,4421.670625
2021-10-01,4602.1089062500005
2022-01-01,4463.855483870967
2022-04-01,4105.667096774193
2022-07-01,3980.35109375
2022-10-01,3851.9734920634924
2023-01-01,4000.064516129032
2023-04-01,4206.072903225806
2023-07-01,4458.13746031746
2023-10-01,4464.907619047619
2024-01-01,4992.540983606557
2024-04-01,5246.626507936508
2024-07-01,5543.46921875
2024-10-01,5789.672916666666
