DATE,T1_Adj_Close
2008-01-01,2.739786885245902
2008-04-01,3.146015625
2008-07-01,3.106296875
2008-10-01,2.180375
2009-01-01,1.7554754098360656
2009-04-01,2.230031746031746
2009-07-01,2.455078125
2009-10-01,2.291140625
2010-01-01,2.4145081967213113
2010-04-01,2.238507936507937
2010-07-01,1.53425
2010-10-01,1.4868095238095238
2011-01-01,2.107661290322581
2011-04-01,1.841936507936508
2011-07-01,1.134125
2011-10-01,0.9479047619047618
2012-01-01,0.8909838709677419
2012-04-01,0.7815714285714285
2012-07-01,0.6634761904761904
2012-10-01,0.6826612903225807
2013-01-01,0.815
2013-04-01,0.901203125
2013-07-01,1.493921875
2013-10-01,1.428953125
2014-01-01,1.5900655737704918
2014-04-01,1.6478095238095238
2014-07-01,1.693125
2014-10-01,1.591546875
2015-01-01,1.4526393442622951
2015-04-01,1.5220793650793651
2015-07-01,1.54803125
2015-10-01,1.57821875
2016-01-01,1.3660983606557375
2016-04-01,1.237390625
2016-07-01,1.1245
2016-10-01,1.6038225806451611
2017-01-01,1.9422903225806452
2017-04-01,1.808
2017-07-01,1.8104285714285715
2017-10-01,2.064746031746032
2018-01-01,2.533377049180328
2018-04-01,2.764125
2018-07-01,2.809174603174603
2018-10-01,2.889190476190476
2019-01-01,2.4650491803278687
2019-04-01,2.1207460317460316
2019-07-01,1.627046875
2019-10-01,1.615296875
2020-01-01,1.1426290322580646
2020-04-01,0.3557936507936508
2020-07-01,0.2706875
2020-10-01,0.3680625
2021-01-01,0.6145901639344262
2021-04-01,0.832095238095238
2021-07-01,0.79625
2021-10-01,1.17615625
2022-01-01,1.8369354838709677
2022-04-01,2.9503709677419354
2022-07-01,3.23034375
2022-10-01,3.999206349206349
2023-01-01,3.8084516129032258
2023-04-01,3.7005967741935484
2023-07-01,4.315619047619048
2023-10-01,4.437571428571428
2024-01-01,4.123081967213115
2024-04-01,4.4656666666666665
2024-07-01,3.8028125
2024-10-01,3.9891290322580644
